Date,Description,Category,Money In,Money Out,Fee*,Balance
8/09/2023,Live Better Round-up Transfer Transfer,Transfer,258.42,6.1,,258.42
1/10/2023,PowerBall Winnings Betting/Lottery,Betting/Lottery,825.96,,,825.96
5/10/2023,Payment Received:,Other Income,216.03,,,216.03
3/11/2023,Banking App Immediate Payment: Molebatsi Uncategorised,Digital Payments,915.16,1.0,,915.16
8/11/2023,SMS Notification Fee:,Fees,771.42,2.4,,771.42
6/11/2023,* Includes VAT at 15,Uncategorised,15.0,,,
5/12/2023,SMS Notification Fee:,Fees,677.18,0.6,,677.18
7/12/2023,* Includes VAT at 15,Uncategorised,15.0,,,
0/12/2023,Banking App External Immediate Payment: Mbaiwa Machuene Joan Digital Payments,Digital Payments,309.05,7.5,,309.05
0/01/2024,Payment Received:,Other Income,54.16,,,54.16
4/01/2024,SMS Notification Fee:,Fees,175.06,0.9,,175.06
1/02/2024,Banking App Immediate Payment: Baloyi Mi Digital Payments,Digital Payments,765.23,1.0,,765.23
5/02/2024,* Includes VAT at 15,Uncategorised,15.0,,,
9/02/2024,Banking App Prepaid Purchase: Telkom Mobile Cellphone,Cellphone,223.79,0.5,,223.79
0/03/2024,* Includes VAT at 15,Uncategorised,15.0,,,
5/03/2024,Laduma Hardware Swalal White River,Home Improvements,963.97,142.5,,963.97
5/04/2024,* Includes VAT at 15,Uncategorised,15.0,,,
2/04/2024,* Includes VAT at 15,Uncategorised,15.0,,,
4/04/2024,* Includes VAT at 15,Uncategorised,15.0,,,
1/05/2024,* Includes VAT at 15,Uncategorised,15.0,,,
0/05/2024,Boxer White River,Groceries,934.54,79.98,,934.54
0/05/2024,Payment Received: B Shishaba Other Income,Other Income,575.45,,,575.45
8/05/2024,* Includes VAT at 15,Uncategorised,15.0,,,
4/06/2024,* Includes VAT at 15,Uncategorised,15.0,,,
2/06/2024,Immediate Capitec Pay Payment: Betway Betting/Lottery,Betting/Lottery,801.04,1.0,,801.04
5/06/2024,Transaction History Print Fee Fees,Uncategorised,494.56,16.0,,494.56
2/07/2024,* Includes VAT at 15,Uncategorised,15.0,,,
1/07/2024,Banking App Bill Payment Makro Uncategorised,Digital Payments,75.8,1.5,,75.8
0/07/2024,* Includes VAT at 15,Uncategorised,15.0,,,
1/07/2024,Monthly Account Admin Fee Fees,Fees,483.38,7.5,,483.38
3/08/2024,* Includes VAT at 15,Uncategorised,15.0,,,
4/08/2024,BUCO Hazyview,Home Improvements,129.37,761.5,,129.37
1/08/2024,* Includes VAT at 15,Uncategorised,15.0,,,
0/09/2024,PowerBall Payment Betting/Lottery,Betting/Lottery,619.83,1.5,,619.83
